"time","placeholder","placeholder","placeholder"
2005-01-01 00:00:00,0,0,0
2005-01-01 01:00:00,0,0,0
2005-01-01 02:00:00,0,0,0
2005-01-01 03:00:00,0,0,0
2005-01-01 04:00:00,0,0,0
2005-01-01 05:00:00,0,0,0
2005-01-01 06:00:00,0,0,0
2005-01-01 07:00:00,0,0,0
2005-01-01 08:00:00,0,0,0
2005-01-01 09:00:00,0,0,0
2005-01-01 10:00:00,0,0,0
2005-01-01 11:00:00,0,0,0
2005-01-01 12:00:00,0,0,0
2005-01-01 13:00:00,0,0,0
2005-01-01 14:00:00,0.184,0.035,0.049
2005-01-01 15:00:00,0.411,0.214,0.178
2005-01-01 16:00:00,0.676,0.484,0.387
2005-01-01 17:00:00,0.759,0.745,0.639
2005-01-01 18:00:00,0.766,0.777,0.708
2005-01-01 19:00:00,0.756,0.767,0.719
2005-01-01 20:00:00,0.722,0.735,0.654
2005-01-01 21:00:00,0.653,0.667,0.556
2005-01-01 22:00:00,0.517,0.519,0.323
2005-01-01 23:00:00,0.224,0.175,0.065
2005-01-02 00:00:00,0,0,0
2005-01-02 01:00:00,0,0,0
2005-01-02 02:00:00,0,0,0
2005-01-02 03:00:00,0,0,0
2005-01-02 04:00:00,0,0,0
2005-01-02 05:00:00,0,0,0
2005-01-02 06:00:00,0,0,0
2005-01-02 07:00:00,0,0,0
2005-01-02 08:00:00,0,0,0
2005-01-02 09:00:00,0,0,0
2005-01-02 10:00:00,0,0,0
2005-01-02 11:00:00,0,0,0
2005-01-02 12:00:00,0,0,0
2005-01-02 13:00:00,0,0,0
2005-01-02 14:00:00,0.018,0.008,0.012
2005-01-02 15:00:00,0.087,0.042,0.056
2005-01-02 16:00:00,0.156,0.108,0.135
2005-01-02 17:00:00,0.169,0.24,0.209
2005-01-02 18:00:00,0.159,0.354,0.335
2005-01-02 19:00:00,0.138,0.23,0.307
2005-01-02 20:00:00,0.11,0.129,0.207
2005-01-02 21:00:00,0.073,0.075,0.114
2005-01-02 22:00:00,0.034,0.032,0.044
2005-01-02 23:00:00,0.005,0.002,0.004
2005-01-03 00:00:00,0,0,0
2005-01-03 01:00:00,0,0,0
2005-01-03 02:00:00,0,0,0
2005-01-03 03:00:00,0,0,0
2005-01-03 04:00:00,0,0,0
2005-01-03 05:00:00,0,0,0
2005-01-03 06:00:00,0,0,0
2005-01-03 07:00:00,0,0,0
2005-01-03 08:00:00,0,0,0
2005-01-03 09:00:00,0,0,0
2005-01-03 10:00:00,0,0,0
2005-01-03 11:00:00,0,0,0
2005-01-03 12:00:00,0,0,0
2005-01-03 13:00:00,0,0,0
2005-01-03 14:00:00,0.131,0.234,0.065
2005-01-03 15:00:00,0.251,0.489,0.159
2005-01-03 16:00:00,0.306,0.465,0.202
2005-01-03 17:00:00,0.273,0.452,0.232
2005-01-03 18:00:00,0.213,0.391,0.275
2005-01-03 19:00:00,0.28,0.209,0.238
2005-01-03 20:00:00,0.39,0.213,0.164
2005-01-03 21:00:00,0.226,0.356,0.132
2005-01-03 22:00:00,0.118,0.175,0.06
2005-01-03 23:00:00,0.025,0.023,0.005
2005-01-04 00:00:00,0,0,0
2005-01-04 01:00:00,0,0,0
2005-01-04 02:00:00,0,0,0
2005-01-04 03:00:00,0,0,0
2005-01-04 04:00:00,0,0,0
2005-01-04 05:00:00,0,0,0
2005-01-04 06:00:00,0,0,0
2005-01-04 07:00:00,0,0,0
2005-01-04 08:00:00,0,0,0
2005-01-04 09:00:00,0,0,0
2005-01-04 10:00:00,0,0,0
2005-01-04 11:00:00,0,0,0
2005-01-04 12:00:00,0,0,0
2005-01-04 13:00:00,0,0,0
2005-01-04 14:00:00,0.258,0.041,0.025
2005-01-04 15:00:00,0.514,0.203,0.131
2005-01-04 16:00:00,0.636,0.336,0.305
2005-01-04 17:00:00,0.703,0.593,0.493
2005-01-04 18:00:00,0.716,0.705,0.667
2005-01-04 19:00:00,0.704,0.71,0.697
2005-01-04 20:00:00,0.671,0.672,0.654
2005-01-04 21:00:00,0.588,0.604,0.52
2005-01-04 22:00:00,0.382,0.406,0.351
2005-01-04 23:00:00,0.065,0.071,0.074
2005-01-05 00:00:00,0,0,0
2005-01-05 01:00:00,0,0,0
2005-01-05 02:00:00,0,0,0
2005-01-05 03:00:00,0,0,0
2005-01-05 04:00:00,0,0,0
2005-01-05 05:00:00,0,0,0
2005-01-05 06:00:00,0,0,0
2005-01-05 07:00:00,0,0,0
2005-01-05 08:00:00,0,0,0
2005-01-05 09:00:00,0,0,0
2005-01-05 10:00:00,0,0,0
2005-01-05 11:00:00,0,0,0
2005-01-05 12:00:00,0,0,0
2005-01-05 13:00:00,0,0,0
2005-01-05 14:00:00,0.161,0.078,0.043
2005-01-05 15:00:00,0.344,0.22,0.222
2005-01-05 16:00:00,0.223,0.483,0.316
